                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4639,                 4.2986,                 4.0905,                0.00328,                0.05069,                0.00277,                0.00077,                 4.7352,                 4.7889,                 4.2241,             0.00027505,             0.00027505,             0.00027505
                      2,                 3.8171,                 3.2716,                 3.2904,                0.15407,                0.05998,                0.01331,                0.00375,                 3.5128,                 3.2814,                 3.0322,             0.00054724,             0.00054724,             0.00054724
                      3,                 3.2165,                 2.7904,                 2.7466,                0.29887,                0.09618,                0.03126,                 0.0099,                 3.1155,                 2.7865,                 2.5927,             0.00081394,             0.00081394,             0.00081394
                      4,                 2.8434,                 2.5789,                 2.4036,                0.21601,                 0.1053,                0.04954,                0.01818,                  2.659,                  2.582,                 2.2629,             0.00080826,             0.00080826,             0.00080826
                      5,                 2.6254,                 2.4604,                 2.2144,                0.23573,                0.15358,                0.08386,                0.03234,                 2.4584,                 2.4244,                 2.1041,             0.00080001,             0.00080001,             0.00080001
                      6,                 2.4111,                 2.3601,                 2.0444,                0.38204,                0.15714,                0.09851,                0.03939,                 2.3397,                  2.258,                 1.9815,             0.00079177,             0.00079177,             0.00079177
                      7,                 2.3043,                 2.2925,                 1.9378,                0.37261,                 0.1772,                0.11385,                0.04952,                 2.1617,                  2.237,                 1.8337,             0.00078352,             0.00078352,             0.00078352
                      8,                  2.201,                 2.2521,                 1.8431,                0.21401,                0.19897,                0.13184,                0.06044,                 2.0562,                 2.1669,                 1.7738,             0.00077527,             0.00077527,             0.00077527
                      9,                 2.0982,                 2.1918,                 1.7656,                0.20452,                0.18832,                0.13324,                0.06103,                 2.0654,                 2.1882,                 1.7494,             0.00076703,             0.00076703,             0.00076703
                     10,                 2.0673,                 2.1757,                 1.7283,                0.37567,                0.22413,                0.16923,                 0.0829,                   1.94,                 2.0702,                 1.6494,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.9826,                 2.1243,                  1.667,                0.37711,                0.22147,                0.15511,                0.07249,                 1.9767,                 2.0893,                 1.6677,             0.00075053,             0.00075053,             0.00075053
                     12,                  1.946,                 2.0956,                 1.6415,                0.39734,                0.20477,                0.18134,                0.09211,                 1.8562,                 2.0688,                 1.5887,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.9036,                 2.0758,                  1.612,                0.38924,                0.23972,                0.18282,                0.09595,                  1.824,                 2.0286,                 1.5656,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.8691,                 2.0494,                 1.5834,                 0.3641,                0.22717,                0.17878,                0.09458,                 1.8639,                 2.0303,                 1.5821,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.8459,                 2.0282,                 1.5622,                0.35646,                0.24709,                  0.188,                0.10042,                 1.7639,                 1.9745,                 1.5294,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.8234,                 2.0231,                 1.5497,                0.37127,                 0.2557,                0.18983,                0.10038,                 1.7906,                 1.9925,                 1.5357,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.7873,                 1.9857,                 1.5192,                0.36467,                0.25023,                0.19537,                0.10454,                 1.8006,                 1.9747,                 1.5397,             0.00070105,             0.00070105,             0.00070105
